^Nr;0;0;smoothed;smoothed;smoothed
377;5.792796495;4.176642109;4.810979865;4.118995894;4.176642109
378;1.877877447;4.636078776;3.125295788;4.554412668;4.636078776
379;3.562454584;4.940150158;3.454564881;4.928935227;4.940150158
380;5.29856507;5.450445744;4.173076077;5.511345675;5.450445744
381;2.796959268;5.927529307;4.075720389;5.13760051;5.927529307
382;4.899092453;6.222566126;3.973463956;5.382088425;6.222566126
383;5.527540152;6.815857318;6.593105903;5.311531327;6.815857318
384;9.403877027;7.081280778;8.318598523;5.926673986;7.081280778
385;8.818077314;7.331782503;9.464919615;6.515239855;7.331782503
386;8.721697798;7.617696179;8.446407222;7.63148827;7.617696179
387;6.519801752;7.552103227;5.583610664;8.169627129;7.552103227
388;2.829175838;7.706349029;5.453575558;8.706359387;7.706349029
389;9.188836077;7.365429736;6.26527306;8.710376944;7.365429736
390;6.519801752;7.130836254;8.263141579;8.290431444;7.130836254
391;9.851327343;6.524229932;10.58989924;8.183235977;6.524229932
392;13.87370269;6.027525522;10.45492325;7.373539528;6.027525522
393;4.660545484;5.524791693;8.977557889;6.325457901;5.524791693
394;8.171233559;5.029796013;3.889315357;5.246495794;5.029796013
395;-2.01E-10;4.329167271;4.687527058;4.069115798;4.329167271
396;5.696790252;3.518691038;0.405364138;3.358335877;3.518691038
397;-3.876265918;2.608206611;1.586955555;2.019220145;2.608206611
398;3.876265918;1.583041363;-0.684634432;0.906364024;1.583041363
399;-2.187763663;0.8783338;0.775809033;-0.597140626;0.8783338
400;0;0.180553343;-1.486553768;-1.408854619;0.180553343
401;-2.067103217;-0.212393911;-2.192175996;-1.71130431;-0.212393911
402;-3.552606141;-0.828580978;-1.646069447;-1.646520207;-0.828580978
403;1.839140823;-1.121279229;-0.767208248;-1.33025592;-1.121279229
404;-1.839140823;-1.615346178;0.156487433;-1.042717084;-1.615346178
405;-0.127323745;-1.720565023;-1.156591849;-1.291526861;-1.720565023
406;-1.847610266;-1.947394142;-2.248747356;-1.16302378;-1.947394142
407;-3.814074835;-2.064890549;-1.686900336;-1.285600986;-2.064890549
408;1.839140824;-1.868828466;-1.044222445;-0.95403505;-1.868828466
409;-1.839140824;-1.426794768;1.031709473;-0.812099352;-1.426794768
410;1.839140823;-1.366149975;-1.242748674;-0.810144987;-1.366149975
411;-3.931207103;-0.828416454;-0.788988875;-0.960511747;-0.828416454
412;7.47E-10;-0.296490564;-2.97611465;-1.258973345;-0.296490564
413;-3.876265919;-0.272271225;-0.979292662;-0.932310431;-0.272271225
414;1.652304678;0.18009625;-0.526457472;-0.860729723;0.18009625
415;-2.44E-10;-0.070120644;0.898755826;-0.427298554;-0.070120644
416;7.33E-10;0.056268826;0.060777427;-0.231537352;0.056268826
417;-7.33E-10;-0.342154442;-0.739460843;-0.07418674;-0.342154442
418;-2.361374658;-0.587128839;-1.283165194;-0.40657939;-0.587128839
419;-0.818455462;-0.831200929;-2.35513502;-0.152673183;-0.831200929
420;-1.684684317;-1.114097104;1.591258204;0.456818697;-1.114097104
421;6.654425045;-1.135235471;1.69356636;0.229521733;-1.135235471
422;-2.405970516;-1.267990958;2.652587887;0.313734337;-1.267990958
423;2.405970516;-1.226436221;-2.652587887;-0.742025578;-1.226436221
424;-6.654425046;-1.198261273;-1.389729235;-1.159536725;-1.198261273
425;1.684684318;-1.32892717;-2.356380052;-1.982888504;-1.32892717
426;-2.726310993;-1.114891065;-1.167515289;-2.509202488;-1.114891065
427;-2.891269597;-0.904177726;-2.354258878;-2.487434868;-0.904177726
428;3.17E-10;-0.563559271;-0.577577835;-2.647079599;-0.563559271
429;-1.507435759;-0.471925908;-2.971520926;-2.073823108;-0.471925908
430;-8.130102354;-0.410155149;-5.753865287;-1.800961841;-0.410155149
431;-3.503531645;-0.214595048;-4.012320407;-1.085950536;-0.214595048
432;1.013978723;-0.511431177;-0.633543378;0.028197968;-0.511431177
433;5.76E-11;-0.254547566;2.99962928;0.860858611;-0.254547566
434;7.253194613;-0.237008415;3.506773804;1.487493434;-0.237008415
435;1.576550056;-0.088418013;4.837552981;2.170365965;-0.088418013
436;5.481296594;0.242819747;4.052728982;2.055829113;0.242819747
437;3.433630363;0.555474496;1.940376277;2.409610617;0.555474496
438;-3.433630363;1.386532379;0.511211824;1.726072774;1.386532379
439;3.433630363;1.620968411;-1.27534842;1.613760989;1.620968411
440;-3.433630362;1.881502732;1.085512267;0.306939207;1.881502732
441;3.433630363;1.884634188;-0.031856478;-0.050082531;1.884634188
442;-1.218875236;1.37451945;-0.069650014;-1.184997164;1.37451945
443;-2.214755127;0.998082376;-0.522364177;-0.856499011;0.998082376
444;2.214755127;0.340337389;-1.779414785;-0.165909308;0.340337389
445;-5.906141114;0.046138705;-1.359317219;0.399075677;0.046138705
446;2.045408489;-0.530974815;-0.84681571;1.910044928;-0.530974815
447;1.645977498;-0.759540848;2.461527454;1.442409256;-0.759540848
448;2.214755126;-0.908196689;2.684014708;1.38902668;-0.908196689
449;3.556181095;-1.338783548;1.576466509;0.439605109;-1.338783548
450;3.63E-10;-1.266570054;4.874837343;-0.528935779;-1.266570054
451;8.972626615;-0.840756775;0.69738541;-1.002116185;-0.840756775
452;-8.972626615;-0.204889634;0.610862221;-1.686712943;-0.204889634
453;3.262033478;0.210323919;-4.888187906;-1.621885161;0.210323919
454;-9.0329697;0.872956914;-4.058882109;-1.66071729;0.872956914
455;-5.481296594;1.398530611;-6.983171065;-0.982060005;1.398530611
456;-3.737629544;2.050074992;-5.396996044;0.040215608;2.050074992
457;-3.934782056;2.282825589;1.406553987;0.591232918;2.282825589
458;13.15370819;2.702280525;5.998817151;2.715330815;2.702280525
459;4.438716368;3.509012451;9.899170184;4.25164603;3.509012451
460;10.30484647;3.936524172;7.133555491;5.995030167;3.936524172
461;7.431407973;4.835153083;9.373710858;7.244176008;4.835153083
462;9.496105093;5.646282103;8.166049454;8.208138461;5.646282103
463;7.516441715;6.630030244;8.491415675;9.319000022;6.630030244
464;8.027237512;7.608827952;7.24042398;8.728867155;7.608827952
465;6.188615962;8.389507049;6.476552305;8.703837708;8.389507049
466;6.340191746;9.280309259;6.90227621;7.851127906;9.280309259
467;9.462322208;10.0594505;9.301155809;7.835372162;10.0594505
468;9.977712619;10.46976571;7.962732013;7.851191617;10.46976571
469;4.189342904;10.91731754;7.916487093;8.490932329;10.91731754
470;11.90830006;11.03807457;8.461441464;10.18214256;11.03807457
471;9.462322208;10.97775037;12.07093555;10.64551798;10.97775037
472;13.39249775;10.36092327;11.19126029;11.39814661;10.36092327
473;9.80609276;10.38932164;10.86472877;11.62548018;10.38932164
474;10.49147701;9.553422096;11.23293887;11.39211956;9.553422096
475;14.88626685;9.44378912;14.0381991;11.17918434;9.44378912
476;13.77769026;9.232641119;12.7892713;10.42173196;9.232641119
477;7.847099009;9.199677022;9.720380824;9.804911305;9.199677022
478;9.307399342;9.175503835;8.622536838;9.1002346;9.175503835
479;8.516543003;8.63923808;7.6788229;8.24681464;8.63923808
480;3.822544276;8.354926081;4.54503668;7.498740311;8.354926081
481;3.346818642;7.530512345;3.891587271;6.621721227;7.530512345
482;6.781703537;7.114696863;6.118587431;6.117342841;7.114696863
483;7.463902384;6.241548454;7.14337029;5.707366148;6.241548454
484;6.466473171;5.647005828;7.841755732;5.485214333;5.647005828
485;8.602014988;4.853044286;5.986807152;5.238433847;4.853044286
486;2.63816371;4.554900186;6.199671457;5.03533165;4.554900186
487;7.853313302;4.383075164;4.131198537;5.471305513;4.383075164
488;1.974934011;4.487734007;5.02979267;5.426453547;4.487734007
